AR Name,Client Name,Project Name,Project Code,PAR,Invoice Amount,Amount (PHP),Currency,Sales Remarks,Finance Remarks,Status,AM,Amount Collected,Amount Collected (PHP),Balance (PHP),Year,Business Unit,Signed CE,Internal CE,Invoice Request,Invoice Number,SI Number,Invoice,Invoice Date,Collection Date,CE Collection Date,Invoice Aging (days),CE Aging,Collection Week
PESO National Grassroots Program - Caloocan Downpayment,Pilipinas E-Sports Organization Inc.,PESO National Grassroots Program - Caloocan,2026TEG-P0089,202604160044,103458.98,"103,458.98",PHP,"June 2: Checked with client the payment release
June 4: As per Alo, client is currently in Singapore and will be back in 2-3 weeks",,For Collection,Shanna Mae Alindada Sacsi,,,,2026,PDEI-Event Service,Signed CE_2026TEG-P0089 PESO NGP 1 - Caloocan.pdf,https://docs.google.com/spreadsheets/d/1Wv4dAoTx6QAnsq7uVD2T3d9nIsM8S51bfT2-TRH0gNQ/edit?usp=sharing,2.02604160048e+11,INV-1610,545,INV-1610 SI 545.pdf,2026/04/17,2026/06/30,2026/04/16,74,0y 2m 14d late,27
PESO National Grassroots Program - Caloocan Full Payment,Pilipinas E-Sports Organization Inc.,PESO National Grassroots Program - Caloocan,2026TEG-P0089,202604160044,103458.98,"103,458.98",PHP,"June 2: Checked with client the payment release
June 4: As per Alo, client is currently in Singapore and will be back in 2-3 weeks",,For Collection,Shanna Mae Alindada Sacsi,,,,2026,PDEI-Event Service,Signed CE_2026TEG-P0089 PESO NGP 1 - Caloocan.pdf,https://docs.google.com/spreadsheets/d/1Wv4dAoTx6QAnsq7uVD2T3d9nIsM8S51bfT2-TRH0gNQ/edit?usp=sharing,2.02604160049e+11,INV-1611,546,INV-1611 SI 546.pdf,2026/04/17,2026/06/30,2026/05/07,74,0y 1m 23d late,27
Minotaur x Cobra Core Event Full Payment,Minotaur Advertising Inc,Minotaur x Cobra Core Event,2026TEG-P0078,202604080057,489968.64,"489,968.64",PHP,"Invoice revised, sent to Minotaur as of June 3",,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,SIGNED --- CE_2026TEG-P0078 Cobra Core Event - FINAL (1) (1).pdf,https://docs.google.com/spreadsheets/d/145A38_J8lponSCJnGSvBmV6FtRWa3p-qhyhiSHXD17Y/edit?usp=sharing,2.02604160038e+11,INV-1614,549,INV-1614 SI 549.pdf,2026/04/24,2026/06/30,2026/05/25,67,0y 1m 5d late,27
Minotaur x Cobra Core Event Down Payment,Minotaur Advertising Inc,Minotaur x Cobra Core Event,2026TEG-P0078,202604080057,209986.56,"209,986.56",PHP,"Invoice revised, sent to Minotaur as of June 3",,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,SIGNED --- CE_2026TEG-P0078 Cobra Core Event - FINAL (1) (1).pdf,https://docs.google.com/spreadsheets/d/145A38_J8lponSCJnGSvBmV6FtRWa3p-qhyhiSHXD17Y/edit?usp=sharing,2.02604270041e+11,INV-1614,556,INV#556.pdf,2026/04/28,2026/06/30,2026/05/25,63,0y 1m 5d late,27
SportsPlus MPBL Fan Zone Opening Day DP (70%),Infinitech Digital Gaming Corporation,SportsPlus MPBL Fan Zone Opening Day,2026TEG-P0088,202604060049,885033.1,"885,033.10",PHP,June 1: Securing NEW Signed CE that reflects 12% VAT. For Full collection ,,For Collection,Alvaro Miguel Dela Vega Santos,,,,2026,PDEI-Game Marketing,SIGNED --- SportsPlus x MPBL FANZONE Opening Day 2026.04.01-SIGNED (1).pdf,https://docs.google.com/spreadsheets/d/1vavdTr5-gNgIYTqNHS3W4NLEYlyYO54T77BEJRK-tU0/edit?usp=sharing,2.02604130015e+11,INV-1617,552,INV-1617 SI 552.pdf,2026/04/24,2026/06/30,2026/04/09,67,0y 2m 21d late,27
SportsPlus MPBL Fan Zone Opening Day FP (30%),Infinitech Digital Gaming Corporation,SportsPlus MPBL Fan Zone Opening Day,2026TEG-P0088,202604060049,379299.9,"379,299.90",PHP,,,For Collection,Alvaro Miguel Dela Vega Santos,,,,2026,PDEI-Game Marketing,SIGNED --- SportsPlus x MPBL FANZONE Opening Day 2026.04.01-SIGNED (1).pdf,https://docs.google.com/spreadsheets/d/1vavdTr5-gNgIYTqNHS3W4NLEYlyYO54T77BEJRK-tU0/edit?usp=sharing,2.02604130016e+11,INV-1618,553,INV-1618 SI 553.pdf,2026/04/28,2026/07/08,2026/07/08,71,0y 0m 0d late,28
Jobstreet Umbrella Production Full Payment,Jobstreet,Jobstreet Umbrella Production,2026TEG-P0002,202601090043,57663.61,"57,663.61",PHP,Payment Processing as of May 20,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",57663.61,"57,663.61",0.00,2026,PDEI-Game Marketing,Signed JSPH x Pillar Ecommerce Digital Inc. (MINESKI GLOBAL)_Umbrella Production.pdf,https://docs.google.com/spreadsheets/d/1UT2pczppiap0tcVk3FnI_BbA1-I2whxPQfBVugeAaY0/edit?usp=sharing,2.02604220062e+11,INV-1619,554,INV-1619 SI 554 (1).pdf,2026/04/28,2026/07/31,2026/05/28,94,0y 2m 3d late,31
Jobstreet Addendum (Parking and Boosting),Jobstreet,[ADDENDUM] Jobstreet Level Up Season 2 (Boosting and Food),2026TEG-P0121,202605070027,30705.92,"30,705.92",PHP,Invoice sent June 2,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Event Service,SIGNED --- For Signature JSPH x Pillar Ecommerce Digital Inc (1) (1).pdf,https://docs.google.com/spreadsheets/d/1itX5WTsUFhP-Z9i0duFDWI7yWhLEFizPNArNWUEbU9Y/edit?usp=sharing,2.02605120041e+11,INV-1628,563,INV-1628 SI 563.pdf,2026/05/13,2026/07/31,2026/05/14,79,0y 2m 17d late,31
Selecta Classics Campaign 2026 - Talent Full Payment ,Selecta x Manjean,Selecta Classics Campaign 2026 - Talent,2026TEG-P0097,202604170059,101212.24,"101,212.24",PHP,Estimated June: Client will not commit exact,,For Collection,Carla Andrea Calma Crespo,,,,2026,PDEI-Game Marketing,"image.png
[16042026] Selecta Classics Talent (Manjean) QUOTATION_1.pdf",https://docs.google.com/spreadsheets/d/1ouvaFH-uj10RX_e3V6GxQNuKxg8tgfBhHDnAX7nnUyI/edit?usp=sharing,2.02605080059e+11,INV-1629,564,INV-1629 SI No 564.pdf,2026/05/21,2026/06/30,2026/05/29,40,0y 1m 1d late,27
Crossfire Legends Caster Sourcing,Mineski ID,Crossfire Legends Caster Sourcing,2026TEG-P0119,202605120054,2259.31,"128,780.67",USD,Invoice To Be Refiled Under Mineski MY,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,SIGNED --- CE_2026TEG_P0119_Gameverse_2026_Crossfire_Legends_Caster_Sourcing (1).pdf,,2.0260528003e+11,INV-1631,566,Invoice INV-1631 II SI NO.566.pdf,2026/06/01,2026/07/31,,60,0y 0m 0d late,31
World Of Tanks HEAT KOL Campaign Full Payment,Wargaming,World Of Tanks HEAT KOL Campaign,2026TEG-P0082,202604070080,1399.93,"79,796.01",USD,Re-invoiced from changed CE,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,"World Of Tanks HEAT KOL Campaign CE_2026TEG-P0082 CE - QUOTATION (Automated)_sig.pdf
World Of Tanks HEAT KOL Campaign CE_2026TEG-P0082 CE  Quote (1).pdf",https://docs.google.com/spreadsheets/d/1OMxmmxrlh88BWOQKwEXPJFwEJDxXzSHuupU034GW038/edit?gid=480848512#gid=480848512,2.02605200077e+11,INV1623,558,Invoice INV-1623 II SI NO.558.pdf,2026/05/05,2026/06/08,2026/06/30,34,0y 0m 22d early,24
Minotaur x Cobra Core Event Addendum,Minotaur Advertising Inc,Minotaur x Cobra Core Event Addendum,2026TEG-P0099,202604200066,87180.8,"87,180.80",PHP,"Invoice revised, sent to Minotaur as of June 3",,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,SIGNED ---- CE_2026TEG-P0078 Cobra Core  - Addendum_signed (1) (1).pdf,https://docs.google.com/spreadsheets/d/145A38_J8lponSCJnGSvBmV6FtRWa3p-qhyhiSHXD17Y/edit?usp=sharing,2.0260427004e+11,,559,INV#559.pdf,2026/05/06,2026/06/22,,47,0y 0m 0d late,26
Crossfire Legends Caster Sourcing Full Payment,Mineski ID,Crossfire Legends Caster Sourcing,2026TEG-P0119,202605120054,131000,"131,000.00",PHP,Needs to be refiled under Mineski MY instead of ID,,For Collection,"Carlos Roberto Francisco, David, IV Coscolluela",,,,2026,PDEI-Game Marketing,SIGNED --- CE_2026TEG_P0119_Gameverse_2026_Crossfire_Legends_Caster_Sourcing (1).pdf,,2.0260528003e+11,,,,,2026/08/24,,0,0y 0m 0d late,35
KIS4 Rebroadcast Full Payment,Mineski ID,KIS4 Rebroadcast,2026TEG-P0007,202601190092,35000,"1,995,000.00",USD,,,Collected,Carla Andrea Calma Crespo,35000,"1,995,000.00",0.00,2026,GG-Event Service,SIGNED --- 5_6328092698100112523_copy (1).pdf,,2.02602050016e+11,INV-0164,,Invoice INV-0164.pdf,2026/02/05,2026/05/08,,92,0y 0m 0d late,19
KIS4 IT Services Full Payment,Mineski ID,KIS4 IT Services,2026TEG-P0008,202601060161,22145.74,"1,262,307.18",USD,,,Collected,Carla Andrea Calma Crespo,22145.74,"1,262,307.18",0.00,2026,GG-Event Service,QUOTATION SIGNED - KIS 4 IT Services.pdf,,2.02604230006e+11,INV-0175,163,Invoice INV-0175 __ SI#163.pdf,2026/04/26,2026/05/08,2026/02/20,12,0y 2m 18d late,19
SMDC Heroes Clash (Casters Addendum),SM Development Corporation,SMDC Heroes Clash Community Arena,2025TEG-P0247,202509190067,20547.3,"20,547.30",PHP,May 11: Marked as paid in SM's system,,Collected,"Carlos Roberto Francisco, David, IV Coscolluela",20547.3,"20,547.30",0.00,2025,PDEI-Event Service,FULLY SIGNED --- SMDC Heroes Clash Yr 3 CE_ 2025TEG-P0247 - 9_19.pdf,https://docs.google.com/spreadsheets/d/1gGvjfA48zaaBrbN3feH-8NlhaaVomSKMlL6uCLEnYco/edit?gid=0#gid=0,2.02510280061e+11,INV-1526,478,INV 478(1).pdf,2025/11/18,2026/04/30,,163,0y 0m 0d late,18
SMDC Heroes Clash (Extra Referees),SM Development Corporation,SMDC Heroes Clash Community Arena,2025TEG-P0247,202509190067,8624,"8,624.00",PHP,May 11: Marked as paid in SM's system,,Collected,"Carlos Roberto Francisco, David, IV Coscolluela",8624,"8,624.00",0.00,2025,PDEI-Event Service,FULLY SIGNED --- SMDC Heroes Clash Yr 3 CE_ 2025TEG-P0247 - 9_19.pdf,https://docs.google.com/spreadsheets/d/1gGvjfA48zaaBrbN3feH-8NlhaaVomSKMlL6uCLEnYco/edit?gid=0#gid=0,2.02511180042e+11,INV-1542,481,INVOICE 481.jpg,2025/11/20,2026/04/30,,161,0y 0m 0d late,18
